"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Rgcc"	1.36460870885433e-18	-1.62656029662818	0.742	0.685	2.72921741770866e-15	"0"	"Rgcc"
"Lyz2"	1.1145770627978e-17	-2.04805610756204	0.585	0.382	2.2291541255956e-14	"0"	"Lyz2"
"Art3"	2.01366678263771e-17	-0.591456932404936	0.431	0.409	4.02733356527543e-14	"0"	"Art3"
"Des"	3.64766065924958e-16	-1.52173758443699	0.599	0.492	7.29532131849916e-13	"0"	"Des"
"Myot"	5.12085610838677e-16	-1.06982813054743	0.592	0.468	1.02417122167735e-12	"0"	"Myot"
"Limch1"	6.40328522486177e-16	-0.527732193461017	0.462	0.414	1.28065704497235e-12	"0"	"Limch1"
"Acta2"	8.8530258331308e-16	-0.862288520843317	0.665	0.457	1.77060516662616e-12	"0"	"Acta2"
"Plk2"	3.00741947835323e-15	-0.601042369184457	0.674	0.5	6.01483895670645e-12	"0"	"Plk2"
"Mpc2"	5.67796803035328e-15	-0.645801486004117	0.787	0.688	1.13559360607066e-11	"0"	"Mpc2"
"Palmd"	6.84110492712921e-15	-0.588710810030133	0.576	0.434	1.36822098542584e-11	"0"	"Palmd"
"Cd24a"	1.34182872488611e-14	-0.589101496593626	0.483	0.395	2.68365744977223e-11	"0"	"Cd24a"
"Ptprb"	1.55264666476314e-14	-0.902725636330166	0.706	0.573	3.10529332952628e-11	"0"	"Ptprb"
"Id1"	1.91286974174035e-14	-1.04946889823383	0.701	0.711	3.8257394834807e-11	"0"	"Id1"
"Fxyd6"	4.89141550254293e-14	-0.552619887907718	0.708	0.538	9.78283100508586e-11	"0"	"Fxyd6"
"Scn1b"	8.23519137220162e-14	-0.583913993744094	0.583	0.502	1.64703827444032e-10	"0"	"Scn1b"
"Hbb-bs"	2.92229142710362e-13	-2.14530142324542	0.767	0.575	5.84458285420723e-10	"0"	"Hbb-bs"
"Cd93"	4.89264875496022e-13	-0.684451365993379	0.676	0.535	9.78529750992045e-10	"0"	"Cd93"
"Tpi1"	8.25414012399967e-13	-1.04233677863363	0.77	0.654	1.65082802479993e-09	"0"	"Tpi1"
"Acyp2"	8.90731488932435e-13	-0.640554196168319	0.586	0.49	1.78146297786487e-09	"0"	"Acyp2"
"Myct1"	1.65721569890468e-12	-0.744552081876823	0.687	0.548	3.31443139780937e-09	"0"	"Myct1"
"Ldb3"	1.69876383771665e-12	-0.628193206149647	0.592	0.398	3.39752767543329e-09	"0"	"Ldb3"
"Aqp1"	1.70962900783997e-12	-2.3668429900017	0.793	0.782	3.41925801567993e-09	"0"	"Aqp1"
"Tmod4"	2.00980086831204e-12	-0.751943049382513	0.519	0.433	4.01960173662408e-09	"0"	"Tmod4"
"Ushbp1"	2.40510887466742e-12	-0.669181907500205	0.685	0.54	4.81021774933483e-09	"0"	"Ushbp1"
"Icam2"	1.61557079628094e-11	-0.680080012331951	0.665	0.521	3.23114159256189e-08	"0"	"Icam2"
